"human_symbol","n_horse_genes","n_present","best_gene","best_expr","non_loc_gene","non_loc_expr","non_loc_is_best","all_genes"
"ARID4A",2,2,"ARID4A",67861,"ARID4A",67861,TRUE,"ARID4A=67861; LOC111772281=10"
"ARMC3",3,3,"ARMC3",37822,"ARMC3",37822,TRUE,"ARMC3=37822; LOC111771763=1; LOC111772260=0"
"ASAH1",3,3,"LOC111770931",5,"ASAH1",2,FALSE,"ASAH1=2; LOC111770931=5; LOC111770943=0"
"ASAP1",2,2,"ASAP1",156812,"ASAP1",156812,TRUE,"ASAP1=156812; LOC111775035=0"
"ASCL1",2,2,"LOC111771043",2473,"ASCL1",123,FALSE,"ASCL1=123; LOC111771043=2473"
"ASMTL",2,2,"LOC111771625",2573,NA,NA,NA,"LOC100629197=1511; LOC111771625=2573"
"ATOH8",3,3,"ATOH8",337,"ATOH8",337,TRUE,"ATOH8=337; LOC111771967=0; LOC111771993=0"
"BAG3",2,2,"BAG3",4283,"BAG3",4283,TRUE,"BAG3=4283; LOC106782030=14"
"BCL9L",2,2,"LOC100063146",2491,NA,NA,NA,"LOC100063146=2491; LOC111774226=323"
"BSX",2,2,"BSX",0,"BSX",0,TRUE,"BSX=0; LOC111774108=0"
"C16orf87",2,2,"C3H16orf87",56565,"C3H16orf87",56565,TRUE,"C3H16orf87=56565; LOC111772732=38438"
"C17orf58",2,2,"C11H17orf58",1240,"C11H17orf58",1240,TRUE,"C11H17orf58=1240; LOC111775548=163"
"C1QL3",3,3,"C1QL3",1,"C1QL3",1,TRUE,"C1QL3=1; LOC111771764=0; LOC111772277=0"
